Time,Frames Rendered,Total Time,Average Framerate,Minimum Framerate,Maximum Framerate,1% Low Framerate,AVG 1% LOW per resolution,0.1% Low Framerate
23:57:39,24532,109.016,225,23.5,465.2,24.3,40.63333333,22.6
00:00:14,28175,108.593,259.4,47.5,555.4,49.7,,44.9
00:02:43,28072,108.485,258.7,45.1,537.5,47.9,,43.6
00:05:12,28152,108.546,259.3,48.6,551.4,50.6,45.6,47
00:07:46,27733,108.672,255.1,42.6,543.9,44.3,,41.1
00:10:07,27132,108.453,250.1,39.5,499.4,41.9,,37.2
00:12:20,27414,108.593,252.4,42.3,530.8,44.6,43.8,40.9
00:14:36,28681,112.25,255.5,48.9,539.4,51.1,,40.4
00:18:34,27228,108.938,249.9,33.7,557.4,35.7,,32.5
00:20:27,26828,108.437,247.4,37.4,521.7,39.9,38.76666667,36.2
00:22:44,26751,108.703,246,36.3,496.8,37.9,,34.6
00:24:45,27385,109.531,250,36.4,541.8,38.5,,35
00:26:52,25930,109.218,237.4,31.1,499.9,32.6,32.06666667,30.3
00:29:08,25699,108.985,235.8,30.4,495.5,31.8,,29.3
00:31:06,25223,108.859,231.7,30.2,506.3,31.8,,28.4
00:33:21,24942,108.719,229.4,26.5,485.7,28.1,27.56666667,25.4
00:35:53,24817,108.641,228.4,25,488.1,26.3,,23.9
00:39:10,25093,108.469,231.3,26.9,533,28.3,,26.1
00:41:42,23595,108.812,216.8,22.6,439.8,23.9,24.46666667,21.7
00:43:34,23780,109.485,217.1,23.6,439,24.5,,22.9
00:45:30,24749,112.219,220.5,23.3,445.4,25,,22.5
00:48:07,30282,109.172,277.3,86.3,526.2,86.1,84.7,4.9
00:50:00,30195,109.5,275.7,81,508.9,83.7,,63.2
00:51:53,29859,108.469,275.2,81,521.5,84.3,,62.6
00:54:32,30512,111,274.8,61.9,516.3,65,63.46666667,59.5
00:56:24,28691,108.609,264.1,60.2,506.3,62.3,,47.8
00:58:24,26989,108.672,248.3,60.5,517.6,63.1,,58
01:01:28,32339,116.109,278.5,57.2,527.7,59.6,59.66666667,55.1
01:03:21,29051,108.718,267.2,56.3,526.6,58.4,,53.7
01:05:25,29915,110.14,271.6,58.4,527.6,61,,47.9
01:07:59,29082,108.906,267,40.3,519.8,42.6,45,38.3
01:10:03,29128,108.907,267.4,44.5,532.7,45.9,,43
01:12:02,29314,110.203,266,43.6,525.6,46.5,,42.9
01:14:34,27929,108.641,257,32.3,498.6,33.4,32.26666667,31.4
01:16:29,28443,109.828,258.9,30,502.3,31.5,,28.8
01:18:27,28222,108.796,259.4,30.4,516.3,31.9,,29.3
